goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12              	 7430071	       159.2 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12          	10110270	       131.3 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12           	 4361331	       267.6 ns/op	     137 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12             	 3989011	       293.5 ns/op	     117 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12  	 3436351	       341.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12          	10213969	       100.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12               	 8652229	       146.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12         	28954446	        36.56 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                 	 2964711	       374.7 ns/op	     208 B/op	      10 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12             	 8871792	       133.5 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12       	 3016892	       386.3 ns/op	     296 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                  	 8056066	       139.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12              	11505724	       121.7 ns/op	     176 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12               	 3659514	       294.4 ns/op	     137 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                 	 3867484	       313.8 ns/op	     136 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12      	 2885478	       390.4 ns/op	     176 B/op	       9 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12              	12659114	        99.60 ns/op	      88 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                   	 7961240	       141.0 ns/op	     104 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12             	32075270	        32.29 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	github.com/dolmen-go/jsonptr-benchmark	152.083s
