goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkGet/[chanced/jsonpointer]-12         	 2049784	       600.6 ns/op	     165 B/op	      13 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                  	 5089104	       220.4 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                 	285924344	         4.319 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                   	21977398	        51.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                  	 7211439	       162.5 ns/op	      53 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12              	17500976	        63.42 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12           	286694784	         4.306 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                    	11326512	       107.4 ns/op	      48 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                	283131244	         4.218 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12       	 5558332	       219.5 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12              	266923396	         4.243 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12               	17953670	        64.57 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12               	273849600	         4.240 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12         	 3122097	       374.1 ns/op	     296 B/op	      13 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[twindagger/jsonptr]-12                   	 3700458	       304.4 ns/op	     168 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[chanced/jsonpointer]-12                  	36239912	        30.96 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12                    	10240011	       126.6 ns/op	     112 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12                   	 5245856	       217.7 ns/op	      96 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12               	 7379392	       168.3 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12            	31684918	        35.62 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[oas3/jsonpointer]-12                     	 7560741	       169.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12                 	 5616994	       189.8 ns/op	     121 B/op	       3 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12        	 4038147	       288.1 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[encoding/json/jsontext]-12               	28027998	        38.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12                	 9775730	       117.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12                	 7623007	       158.2 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12                    	 2851183	       435.2 ns/op	     200 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12                   	42914485	        33.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12                     	 5713392	       192.4 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12                    	 3772556	       330.0 ns/op	     117 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12                	 7103709	       178.5 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12             	33722312	        35.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                      	 7385322	       169.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12                  	 3616675	       306.4 ns/op	     137 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12         	 2936500	       407.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12                	30309326	        40.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12                 	10314146	       119.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                 	 8411694	       152.9 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12          	 2294572	       503.6 ns/op	     317 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12              	 2371735	       463.4 ns/op	     296 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                        	 2532859	       483.4 ns/op	     208 B/op	      10 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                       	37797225	        31.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                         	 7290764	       157.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                        	 3210637	       359.5 ns/op	     136 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                    	 7516845	       161.7 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12                 	39048907	        30.45 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                          	 6666867	       162.1 ns/op	     104 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                      	 3503847	       338.5 ns/op	     137 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12             	 2698884	       448.5 ns/op	     176 B/op	       9 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                    	29896323	        37.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                     	11123056	       116.4 ns/op	      88 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                     	 8077578	       143.1 ns/op	     176 B/op	       4 allocs/op
PASS
ok  	github.com/dolmen-go/jsonptr-benchmark	194.671s
