goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkBackToString/"/path/~0~1dolmen"/[kaptinlin/jsonpointer]-12               	11220050	       102.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12              	294396858	         3.912 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12        	 5884269	       198.3 ns/op	     128 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12              	16744970	        64.16 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12       	 5521602	       215.1 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                 	297238426	         3.895 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12           	302677249	         3.866 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                    	11114908	       111.8 ns/op	      48 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                   	24911715	        53.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12               	297339055	         4.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                	290900091	         3.784 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12               	19981863	        63.93 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                  	 5497735	       209.4 ns/op	      80 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12 	 7589250	       164.6 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12         	 4559152	       274.6 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[chanced/jsonpointer]-12                   	36947584	        30.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12             	25302361	        41.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[oas3/jsonpointer]-12                      	 6880556	       163.4 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12                     	 9367964	       121.6 ns/op	     112 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12                 	 7573455	       153.8 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12                  	 6938730	       182.2 ns/op	     121 B/op	       3 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12                 	 9525706	       116.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[twindagger/jsonptr]-12                    	 4101553	       302.2 ns/op	     168 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12                    	 5040728	       215.0 ns/op	      96 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[kaptinlin/jsonpointer]-12                 	 6254497	       176.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[encoding/json/jsontext]-12                	25277702	        39.63 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12          	 2928724	       391.3 ns/op	     296 B/op	      13 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12          	 2905063	       397.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12                    	29457360	        34.93 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12              	28834105	        39.48 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                       	 6975754	       179.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12                      	 5919960	       200.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                  	 7034600	       159.5 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12                   	 3543894	       323.3 ns/op	     137 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12                  	 9800541	       119.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12                     	 2790464	       427.8 ns/op	     200 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12                     	 3551868	       342.3 ns/op	     117 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[kaptinlin/jsonpointer]-12                  	 4095994	       287.4 ns/op	     152 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12                 	25352449	        43.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12           	 2284376	       520.2 ns/op	     317 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12                 	 7299012	       170.4 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                           	 6505762	       168.3 ns/op	     104 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                          	 7294719	       167.6 ns/op	      80 B/op	       4 allocs/op
