goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkParseAndBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12        	10922114	       112.4 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[oas3/jsonpointer]-12             	 7519437	       160.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12 	 3244472	       353.9 ns/op	     296 B/op	      13 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[chanced/jsonpointer]-12          	38263347	        29.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12         	 6520651	       176.9 ns/op	     121 B/op	       3 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[twindagger/jsonptr]-12           	 3974160	       298.7 ns/op	     168 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12         	 4249974	       270.5 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12             	25629752	        41.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[encoding/json/jsontext]-12                	31312106	        35.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12                 	 7452006	       157.5 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12                      	 6650719	       181.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                  	 7964179	       151.0 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12                     	 3661873	       319.9 ns/op	     117 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12                  	10987142	       114.6 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                       	 7521028	       163.4 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12           	 2310596	       477.6 ns/op	     317 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12                    	45667424	        30.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12                   	 4100980	       296.7 ns/op	     137 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12                     	 2908555	       410.5 ns/op	     200 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12          	 2956173	       391.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12              	34161018	        38.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12                 	27573394	        37.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                      	 9667578	       109.2 ns/op	      88 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                           	 7225117	       156.7 ns/op	     104 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12               	 2744996	       443.4 ns/op	     296 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                        	40149427	        28.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                       	 3840844	       318.9 ns/op	     137 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                         	 2640712	       463.0 ns/op	     208 B/op	      10 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12              	 2814793	       437.0 ns/op	     176 B/op	       9 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12                  	38628576	        32.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                     	35243221	        35.63 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                     	 8128381	       151.3 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                          	 8016037	       150.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                      	 8671270	       136.5 ns/op	     176 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                         	 3329684	       350.2 ns/op	     136 B/op	       8 allocs/op
PASS
ok  	github.com/dolmen-go/jsonptr-benchmark	181.095s
